congress,id,state_abbrev,cd,state,party_code,name,dim.a,dim.b,log.likelihood,num.votes,num.errors,mean.prop
8,8977,47,0,NORTH C,200,STONE  D.,-0.429,-0.635,-33.15343,136,12,0.784
8,8645,24,0,OHIO,200,SMITH  J.,-0.413,0.138,-43.0851,129,25,0.716
8,10379,24,0,OHIO,200,WORTHINGTON,-0.292,-0.594,-37.18221,93,18,0.67
8,5744,14,0,PENNSYL,200,LOGAN  G.,-0.004,0.089,-36.09013,126,19,0.751
8,5890,14,0,PENNSYL,200,MACLAY  S.,-0.351,-0.737,-43.19958,119,16,0.696
8,2903,5,0,RHODE I,200,ELLERY  C.,-0.572,-0.82,-41.34936,132,22,0.731
8,7559,5,0,RHODE I,200,POTTER  S.,-0.43,-0.903,-41.2852,124,18,0.717
8,4656,5,0,RHODE I,200,HOWLAND  B.,-0.205,0.051,-16.68144,73,8,0.796
8,9088,48,0,SOUTH C,200,SUMTER  T.,-0.512,-0.859,-7.53254,37,3,0.816
8,174,54,0,TENNESS,200,ANDERSON,-0.471,0.237,-50.06739,135,19,0.69
8,1888,54,0,TENNESS,200,COCKE  W.,-0.651,0.495,-26.46502,104,13,0.775
8,8639,6,0,VERMONT,200,SMITH  I.,-0.033,-0.556,-31.59446,108,17,0.746
8,956,6,0,VERMONT,200,BRADLEY  S.,0.008,-0.437,-39.44194,105,20,0.687
8,6913,40,0,VIRGINI,200,NICHOLAS,-0.144,-0.362,-39.73687,115,19,0.708
8,6063,40,0,VIRGINI,200,MASON  S.T.,-0.402,-0.757,-13.49945,31,8,0.647
8,6625,40,0,VIRGINI,200,MOORE  A.,-0.507,-0.565,-18.59339,76,9,0.783
9,4433,1,0,CONNECT,1,HILLHOUSE J,0.722,-0.692,-16.62048,79,9,0.81
9,9452,1,0,CONNECT,1,TRACY  U.,0.743,-0.05,-19.59841,75,8,0.77
9,10043,11,0,DELAWAR,1,WHITE  S.,0.539,-0.094,-10.97246,73,4,0.86
9,524,11,0,DELAWAR,1,BAYARD J.A.,0.444,-0.185,-5.64265,50,1,0.893
9,379,44,0,GEORGIA,200,BALDWIN  A.,-0.354,-0.38,-21.61264,70,11,0.734
9,9366,51,0,KENTUCK,200,THRUSTON B.,-0.146,0.725,-22.49231,66,10,0.711
9,20,51,0,KENTUCK,200,ADAIR  J.,0.07,-0.998,-18.32918,57,10,0.725
9,8678,52,0,MARYLAN,200,SMITH  S.,-0.014,0.268,-31.52757,79,15,0.671
9,10396,52,0,MARYLAN,200,WRIGHT  R.,0.12,0.644,-18.24048,54,13,0.713
9,7428,3,0,MASSACH,1,PICKERING T,0.765,-0.176,-14.26075,84,6,0.844
9,34,3,0,MASSACH,1,ADAMS  J.Q.,0.708,0.675,-18.69513,83,11,0.798
9,3610,4,0,NEW HAM,200,GILMAN  N.,0.165,0.163,-20.98173,80,6,0.769
9,7493,4,0,NEW HAM,1,PLUMER  W.,0.998,0.066,-33.13935,84,19,0.674
9,1974,12,0,NEW JER,200,CONDIT  J.,-0.585,0.428,-16.14969,81,8,0.819
9,5303,12,0,NEW JER,200,KITCHELL A.,-0.543,0.082,-13.83769,83,5,0.846
9,8647,13,0,NEW YOR,200,SMITH  J.,-0.074,0.266,-31.82048,75,18,0.654
9,6577,13,0,NEW YOR,200,MITCHILL S.,0.115,0.993,-25.00113,75,13,0.717
9,9517,47,0,NORTH C,200,TURNER  J.,-0.738,-0.674,-17.18294,74,8,0.793
9,8977,47,0,NORTH C,200,STONE  D.,-0.259,-0.966,-20.92165,50,10,0.658
9,10379,24,0,OHIO,200,WORTHINGTON,-0.365,-0.659,-34.52029,80,14,0.65
9,8645,24,0,OHIO,200,SMITH  J.,0.045,0.299,-28.47356,65,20,0.645
9,5890,14,0,PENNSYL,200,MACLAY  S.,-0.458,-0.548,-15.70263,81,5,0.824
9,5744,14,0,PENNSYL,200,LOGAN  G.,-0.264,-0.919,-21.34836,73,10,0.746
9,3104,5,0,RHODE I,200,FENNER  J.,-0.402,-0.344,-10.01223,45,3,0.801
9,4656,5,0,RHODE I,200,HOWLAND  B.,-0.316,-0.358,-16.23374,78,5,0.812
9,9088,48,0,SOUTH C,200,SUMTER  T.,-0.285,-0.955,-19.34092,74,6,0.77
9,3423,48,0,SOUTH C,200,GAILLARD J.,-0.523,-0.601,-17.20865,73,8,0.79
9,174,54,0,TENNESS,200,ANDERSON J.,-0.421,0.06,-18.88942,60,9,0.73
9,8608,54,0,TENNESS,200,SMITH  D.,-0.347,0.198,-17.65028,79,8,0.8
9,956,6,0,VERMONT,200,BRADLEY S.R,-0.025,-0.417,-30.59452,70,19,0.646
9,8639,6,0,VERMONT,200,SMITH  I.,-0.152,-0.346,-35.07535,81,17,0.649
9,6625,40,0,VIRGINI,200,MOORE  A.,-0.589,-0.444,-16.83694,80,8,0.81
10,4433,1,0,CONNECT,1,HILLHOUSE J,0.64,-0.595,-6.32383,79,1,0.923
10,3678,1,0,CONNECT,1,GOODRICH C.,0.664,-0.401,-7.9229,79,2,0.905
10,10043,11,0,DELAWAR,1,WHITE  S.,0.564,-0.017,-20.36199,77,12,0.768
10,524,11,0,DELAWAR,1,BAYARD J.A.,0.49,-0.25,-6.59819,36,4,0.833
