"","G","Date","location","Opponent","outcome","points_for","points_against","FG.for","FGA.for","FGpct.for","3P.for","3PA.for","3Ppct.for","FT.for","FTA.for","FTpct.for","ORB.for","TRB.for","AST.for","STL","BLK","TOV","PF","FG.against","FGA.against","FGpct.against","3P.against","3PA.against","3Ppct.against","FT.against","FTA.against","FTpct.against","ORB.against","TRB.against","AST.against","STL.against","BLK.against","TOV.against","PF.against","team"
"6858","9","2017-12-16","away","Rider","L (1 OT)","84","90","23","65",".354","10","30",".333","28","33",".848","16","44","16","4","2","18","33","24","58",".414","10","27",".370","32","45",".711","10","34","12","7","5","11","24","wagner"
"6859","10","2017-12-20","away","Seton Hall","L","68","89","26","72",".361","6","29",".207","10","13",".769","9","31","15","9","4","15","24","32","64",".500","9","18",".500","16","26",".615","11","42","20","5","8","16","16","wagner"
"6860","11","2017-12-23","away","Dayton","L","67","79","23","60",".383","7","27",".259","14","17",".824","13","33","9","7","4","22","23","24","50",".480","9","25",".360","22","26",".846","5","27","16","8","3","16","20","wagner"
"6861","12","2017-12-29","home","Mount St. Mary's","W","76","57","29","60",".483","8","25",".320","10","17",".588","14","40","21","5","6","13","19","19","54",".352","4","17",".235","15","23",".652","7","23","9","5","5","12","18","wagner"
"6862","13","2017-12-31","away","St. Francis (NY)","L","75","82","24","46",".522","6","18",".333","21","32",".656","4","27","10","2","5","20","32","25","61",".410","5","13",".385","27","36",".750","12","32","9","8","0","11","27","wagner"
"6863","14","2018-01-04","home","Sacred Heart","W","69","63","23","57",".404","7","24",".292","16","27",".593","15","41","11","6","6","10","19","22","59",".373","5","18",".278","14","22",".636","11","35","10","3","3","8","24","wagner"
"6864","15","2018-01-06","home","Fairleigh Dickinson","W","73","65","19","47",".404","9","19",".474","26","35",".743","13","37","12","9","5","17","17","24","58",".414","9","27",".333","8","9",".889","7","27","13","7","2","14","27","wagner"
"6865","16","2018-01-11","away","Bryant","W","71","62","25","59",".424","11","22",".500","10","19",".526","11","39","13","7","3","11","24","19","51",".373","6","14",".429","18","28",".643","7","32","8","4","1","15","21","wagner"
"6866","17","2018-01-13","away","LIU-Brooklyn","L","67","69","25","65",".385","7","23",".304","10","20",".500","12","32","11","6","2","11","22","23","48",".479","8","18",".444","15","26",".577","6","32","11","2","3","17","22","wagner"
"6867","18","2018-01-18","home","Saint Francis (PA)","W","73","64","27","55",".491","5","14",".357","14","20",".700","11","36","16","5","2","14","20","21","52",".404","6","19",".316","16","21",".762","6","23","12","7","4","12","21","wagner"
"6868","19","2018-01-20","home","Robert Morris","W","62","49","25","56",".446","7","21",".333","5","9",".556","3","38","14","6","6","18","19","18","66",".273","2","20",".100","11","16",".688","13","41","8","9","4","13","15","wagner"
"6869","20","2018-01-26","away","Saint Francis (PA)","W","91","61","33","60",".550","12","23",".522","13","16",".813","12","31","15","6","5","11","21","18","44",".409","6","17",".353","19","25",".760","4","18","15","6","3","14","18","wagner"
"6870","1","2017-11-10","home","Georgia Southern","L","83","85","27","62",".435","11","24",".458","18","23",".783","19","39","14","6","3","18","15","32","67",".478","11","27",".407","10","12",".833","14","29","6","7","2","12","22","wake forest"
"6871","2","2017-11-14","home","Liberty","L","66","79","26","60",".433","2","17",".118","12","18",".667","8","27","9","9","2","11","23","25","51",".490","9","21",".429","20","23",".870","8","37","15","7","3","17","21","wake forest"
"6872","3","2017-11-17","neutral","Drake","L","74","77","26","57",".456","10","28",".357","12","14",".857","8","31","19","3","6","12","15","26","60",".433","15","30",".500","10","14",".714","8","30","19","6","1","12","15","wake forest"
"6873","4","2017-11-18","neutral","Quinnipiac","W","72","55","25","60",".417","10","24",".417","12","17",".706","12","39","13","4","6","8","21","15","52",".288","8","28",".286","17","20",".850","8","29","8","2","3","13","16","wake forest"
"6874","5","2017-11-19","neutral","Houston","L","73","78","19","50",".380","11","26",".423","24","28",".857","10","27","10","4","4","14","22","30","64",".469","9","20",".450","9","17",".529","13","34","23","3","1","10","25","wake forest"
"6875","6","2017-11-24","home","North Carolina-Greensboro","W","81","75","24","39",".615","8","14",".571","25","32",".781","5","27","12","5","0","16","20","25","51",".490","13","26",".500","12","22",".545","9","23","14","8","0","11","23","wake forest"
"6876","7","2017-11-28","home","Illinois","W","80","73","24","47",".511","8","17",".471","24","31",".774","3","23","11","7","2","14","13","24","62",".387","12","29",".414","13","14",".929","13","35","15","7","1","19","24","wake forest"
"6877","8","2017-12-02","home","Richmond","W","82","53","31","57",".544","5","12",".417","15","21",".714","8","38","11","5","7","10","10","21","59",".356","6","26",".231","5","7",".714","5","23","12","6","2","12","16","wake forest"
"6878","9","2017-12-05","away","Charlotte","W","80","57","29","58",".500","9","25",".360","13","23",".565","11","37","17","13","2","16","27","15","47",".319","5","23",".217","22","31",".710","8","32","7","7","2","20","17","wake forest"
"6879","10","2017-12-08","home","Army","W","109","80","40","69",".580","8","19",".421","21","24",".875","11","40","21","10","4","11","17","28","64",".438","13","30",".433","11","17",".647","9","26","20","4","5","13","22","wake forest"
"6880","11","2017-12-18","away","Coastal Carolina","W","84","80","28","55",".509","7","22",".318","21","25",".840","13","33","14","10","5","17","20","29","57",".509","10","20",".500","12","19",".632","9","25","18","10","2","16","19","wake forest"
"6881","12","2017-12-23","home","Tennessee","L","60","79","20","53",".377","6","17",".353","14","17",".824","13","34","7","5","2","19","21","29","56",".518","10","23",".435","11","16",".688","6","26","15","7","4","17","22","wake forest"
"6882","13","2017-12-30","away","UNC","L","69","73","25","63",".397","11","29",".379","8","16",".500","4","33","16","7","7","6","17","27","68",".397","7","22",".318","12","18",".667","12","47","15","4","5","12","15","wake forest"
"6883","14","2018-01-03","home","Syracuse","W","73","67","25","56",".446","9","19",".474","14","24",".583","11","35","20","7","3","11","16","21","50",".420","7","18",".389","18","23",".783","5","27","9","8","6","13","18","wake forest"
"6884","15","2018-01-06","away","Boston College","L","71","77","24","69",".348","12","26",".462","11","15",".733","9","43","14","3","1","14","25","22","59",".373","7","22",".318","26","35",".743","4","35","15","6","9","7","16","wake forest"
"6885","16","2018-01-10","home","Virginia Tech","L","75","83","31","70",".443","9","25",".360","4","7",".571","14","39","11","6","5","12","14","29","57",".509","12","28",".429","13","16",".813","3","27","20","7","0","11","13","wake forest"
"6886","17","2018-01-13","away","Duke","L","71","89","27","75",".360","10","23",".435","7","9",".778","11","35","15","5","4","12","26","25","57",".439","12","23",".522","27","34",".794","7","42","18","10","5","13","15","wake forest"
"6887","18","2018-01-18","away","North Carolina State","L","63","72","25","65",".385","4","17",".235","9","15",".600","9","33","13","9","5","12","18","26","62",".419","7","26",".269","13","20",".650","10","40","18","6","4","12","17","wake forest"
"6888","19","2018-01-21","home","Virginia","L","49","59","17","46",".370","4","13",".308","11","14",".786","6","28","9","3","4","12","15","21","52",".404","7","17",".412","10","10","1.000","7","30","12","7","6","7","11","wake forest"
"6889","20","2018-01-23","home","Duke","L","70","84","27","62",".435","5","20",".250","11","13",".846","15","35","11","1","1","20","28","24","53",".453","6","19",".316","30","39",".769","11","31","12","11","2","11","17","wake forest"
"6890","1","2017-11-10","home","Belmont","W","86","82","28","52",".538","4","11",".364","26","36",".722","5","30","8","12","3","15","18","32","65",".492","10","31",".323","8","12",".667","7","26","20","4","4","16","27","washington"
"6891","2","2017-11-12","home","Eastern Washington","W","79","69","24","58",".414","6","16",".375","25","34",".735","13","38","10","4","2","9","23","22","55",".400","8","24",".333","17","28",".607","7","27","13","3","1","10","29","washington"
"6892","3","2017-11-16","neutral","Providence","L","70","77","24","61",".393","9","27",".333","13","22",".591","13","30","11","11","5","19","23","25","49",".510","8","15",".533","19","28",".679","3","28","22","8","2","18","21","washington"
"6893","4","2017-11-17","neutral","Virginia Tech","L","79","103","27","64",".422","5","18",".278","20","35",".571","12","28","16","10","3","15","25","30","50",".600","15","22",".682","28","36",".778","4","33","23","6","1","22","26","washington"
"6894","5","2017-11-24","home","Seattle","W","89","84","28","58",".483","8","26",".308","25","30",".833","7","26","12","11","5","11","21","28","58",".483","12","32",".375","16","21",".762","12","33","17","4","3","17","22","washington"
"6895","6","2017-11-26","home","UC-Davis","W","77","70","25","54",".463","6","23",".261","21","27",".778","16","39","15","7","3","15","15","25","55",".455","5","21",".238","15","21",".714","10","25","13","6","0","11","22","washington"
"6896","7","2017-11-28","home","Kennesaw State","W","85","71","29","58",".500","7","17",".412","20","26",".769","14","39","15","9","5","18","17","28","58",".483","7","19",".368","8","12",".667","5","16","24","9","2","18","18","washington"
"6897","8","2017-12-03","home","Nebraska-Omaha","W","86","73","30","60",".500","7","23",".304","19","24",".792","7","33","9","9","9","11","12","28","68",".412","9","29",".310","8","12",".667","11","37","17","6","2","15","17","washington"
"6898","9","2017-12-06","neutral","Kansas","W","74","65","29","60",".483","9","21",".429","7","15",".467","9","35","17","6","4","12","15","28","62",".452","5","20",".250","4","8",".500","8","33","20","6","3","13","19","washington"
"6899","10","2017-12-10","home","Gonzaga","L","70","97","26","55",".473","7","19",".368","11","19",".579","4","22","13","7","6","12","20","33","65",".508","10","28",".357","21","26",".808","10","34","20","9","2","8","18","washington"
"6900","11","2017-12-17","home","Loyola Marymount","W","80","77","25","56",".446","8","22",".364","22","36",".611","10","34","13","7","7","11","25","27","59",".458","9","22",".409","14","24",".583","10","37","17","5","1","16","28","washington"
"6901","12","2017-12-19","home","Bethune-Cookman","W","106","55","42","67",".627","15","24",".625","7","13",".538","7","30","24","16","15","11","15","18","64",".281","6","23",".261","13","16",".813","16","36","10","4","2","22","16","washington"
"6902","13","2017-12-22","home","Montana","W","66","63","23","51",".451","3","9",".333","17","21",".810","5","24","4","12","11","18","14","27","67",".403","5","15",".333","4","6",".667","16","36","12","6","6","20","19","washington"
"6903","14","2017-12-29","away","USC","W","88","81","37","55",".673","8","16",".500","6","11",".545","4","24","20","3","2","16","18","30","62",".484","3","20",".150","18","21",".857","12","24","19","6","0","9","16","washington"
"6904","15","2017-12-31","away","UCLA","L","53","74","19","68",".279","2","27",".074","13","18",".722","19","35","9","10","2","11","21","22","51",".431","5","14",".357","25","30",".833","10","39","11","7","4","15","17","washington"
"6905","16","2018-01-06","away","Washington State","W","70","65","29","55",".527","2","12",".167","10","14",".714","3","23","8","10","3","17","22","23","57",".404","7","27",".259","12","17",".706","16","38","11","7","3","23","17","washington"
"6906","17","2018-01-11","home","University of California","W","66","56","22","44",".500","9","19",".474","13","19",".684","5","28","14","7","5","20","17","22","52",".423","5","14",".357","7","17",".412","8","26","9","11","2","18","20","washington"
"6907","18","2018-01-13","home","Stanford","L","64","73","21","56",".375","5","22",".227","17","26",".654","2","27","8","10","12","10","20","27","58",".466","4","11",".364","15","28",".536","8","42","12","4","3","18","21","washington"
"6908","19","2018-01-18","away","Utah","L","62","70","25","65",".385","2","18",".111","10","18",".556","14","35","6","9","5","12","25","21","56",".375","7","27",".259","21","30",".700","18","43","14","5","2","14","18","washington"
"6909","20","2018-01-20","away","Colorado","W","72","62","25","59",".424","8","19",".421","14","20",".700","15","47","6","5","5","12","16","23","65",".354","6","22",".273","10","16",".625","10","32","10","6","7","6","16","washington"
"6910","1","2017-11-12","home","Texas Southern","W (1 OT)","86","84","25","76",".329","15","46",".326","21","29",".724","15","44","13","6","1","10","21","29","59",".492","14","32",".438","12","18",".667","4","42","15","6","5","18","24","washington state"
"6911","2","2017-11-15","home","Seattle","W","75","59","26","57",".456","12","25",".480","11","17",".647","6","41","16","9","1","15","15","21","70",".300","10","41",".244","7","10",".700","12","38","14","6","2","12","18","washington state"
"6912","3","2017-11-18","home","Idaho State","W","83","62","32","60",".533","15","34",".441","4","6",".667","6","31","18","7","0","14","17","25","59",".424","6","22",".273","6","10",".600","8","29","11","6","2","17","14","washington state"
"6913","4","2017-11-23","neutral","St. Joseph's","W","75","71","25","57",".439","16","33",".485","9","13",".692","5","36","16","3","5","13","15","26","66",".394","10","34",".294","9","15",".600","5","33","16","6","3","7","13","washington state"
"6914","5","2017-11-24","neutral","Saint Mary's (CA)","W","84","79","33","56",".589","7","21",".333","11","14",".786","3","28","13","4","4","9","15","30","58",".517","9","16",".563","10","16",".625","6","24","14","1","0","9","16","washington state"
"6915","6","2017-11-26","neutral","San Diego State","W","93","86","29","62",".468","13","28",".464","22","25",".880","8","33","21","6","1","13","17","33","74",".446","8","30",".267","12","20",".600","16","41","16","7","3","13","21","washington state"
"6916","7","2017-12-02","home","UC-Davis","L","67","81","24","57",".421","12","34",".353","7","10",".700","6","27","13","6","3","17","17","30","55",".545","7","17",".412","14","21",".667","8","37","13","8","3","12","14","washington state"
"6917","8","2017-12-06","away","Idaho","L","64","91","25","61",".410","7","26",".269","7","14",".500","4","27","11","4","4","12","19","35","72",".486","14","25",".560","7","11",".636","9","39","20","4","6","9","18","washington state"
"6918","9","2017-12-09","away","UTEP","L","69","76","25","56",".446","12","31",".387","7","10",".700","8","31","17","4","0","12","17","24","57",".421","7","28",".250","21","22",".955","8","29","13","1","1","5","9","washington state"
"6919","10","2017-12-16","home","IUPUI","W","72","59","28","51",".549","8","20",".400","8","9",".889","4","35","20","6","8","12","8","24","71",".338","10","31",".323","1","2",".500","13","29","11","6","3","9","12","washington state"
"6920","11","2017-12-20","home","Kansas State","L","65","68","24","62",".387","11","34",".324","6","9",".667","7","32","10","3","1","9","19","25","60",".417","4","24",".167","14","19",".737","9","37","12","5","2","8","16","washington state"
"6921","12","2017-12-22","home","Bethune-Cookman","W","86","58","26","57",".456","15","33",".455","19","22",".864","6","43","19","6","3","18","18","22","70",".314","6","28",".214","8","17",".471","13","39","5","7","2","15","23","washington state"
"6922","13","2017-12-29","away","UCLA","L","82","96","28","59",".475","14","35",".400","12","18",".667","2","29","14","4","1","7","23","29","65",".446","12","28",".429","26","33",".788","13","42","16","2","3","7","14","washington state"
"6923","14","2017-12-31","away","USC","L","71","89","23","58",".397","13","34",".382","12","18",".667","7","26","14","8","2","16","17","36","66",".545","5","20",".250","12","19",".632","10","39","23","10","5","11","18","washington state"
"6924","15","2018-01-06","home","Washington","L","65","70","23","57",".404","7","27",".259","12","17",".706","16","38","11","7","3","23","17","29","55",".527","2","12",".167","10","14",".714","3","23","8","10","3","17","22","washington state"
"6925","16","2018-01-11","home","Stanford","L","70","79","25","58",".431","10","29",".345","10","16",".625","15","38","12","2","1","21","21","27","52",".519","11","25",".440","14","21",".667","4","22","12","4","3","13","19","washington state"
"6926","17","2018-01-13","home","University of California","W","78","53","29","51",".569","15","28",".536","5","7",".714","2","25","22","5","2","14","11","21","66",".318","4","24",".167","7","9",".778","17","37","6","9","1","13","16","washington state"
"6927","18","2018-01-18","away","Colorado","L","73","82","27","66",".409","15","34",".441","4","5",".800","4","22","18","5","0","8","17","30","58",".517","9","26",".346","13","18",".722","7","37","15","4","4","10","12","washington state"
"6928","19","2018-01-21","away","Utah","L","69","82","26","59",".441","9","25",".360","8","10",".800","9","30","12","5","0","14","12","30","63",".476","13","31",".419","9","10",".900","11","34","22","9","4","10","14","washington state"
"6929","1","2017-11-10","home","Utah State","W","65","59","23","54",".426","6","22",".273","13","16",".813","5","32","11","8","6","13","22","20","54",".370","4","15",".267","15","19",".789","6","27","5","2","1","11","16","weber state"
"6930","2","2017-11-14","home","West Coast Baptist","W","110","45","38","62",".613","7","21",".333","27","37",".730","7","46","16","8","5","8","16","15","62",".242","7","28",".250","8","12",".667","9","32","6","3","4","20","28","weber state"
"6931","3","2017-11-17","neutral","Iona","L","72","80","29","61",".475","8","18",".444","6","10",".600","8","30","17","5","1","18","9","35","70",".500","6","19",".316","4","4","1.000","10","32","20","13","2","11","15","weber state"
"6932","4","2017-11-18","neutral","James Madison","W","73","65","22","40",".550","8","18",".444","21","26",".808","6","26","12","6","4","13","20","21","55",".382","4","16",".250","19","24",".792","16","32","10","7","1","13","18","weber state"
"6933","5","2017-11-19","neutral","Bradley","L","64","70","25","54",".463","11","25",".440","3","8",".375","4","19","15","2","2","13","20","24","53",".453","4","12",".333","18","23",".783","10","36","12","7","2","15","13","weber state"
"6934","6","2017-11-25","home","Black Hills State","W","105","52","39","60",".650","19","29",".655","8","9",".889","3","38","24","7","3","12","23","16","55",".291","5","25",".200","15","20",".750","5","24","6","5","0","14","15","weber state"
"6935","7","2017-11-30","away","Fresno State","L","71","83","26","48",".542","10","20",".500","9","10",".900","3","24","17","5","3","20","24","28","54",".519","5","17",".294","22","29",".759","8","24","15","15","2","12","16","weber state"
"6936","8","2017-12-06","away","Utah Valley","L","56","83","23","61",".377","7","23",".304","3","8",".375","6","27","17","3","8","7","12","35","63",".556","7","12",".583","6","10",".600","8","41","23","4","10","7","10","weber state"
"6937","9","2017-12-09","neutral","BYU","L","68","74","26","54",".481","6","24",".250","10","12",".833","4","26","13","9","1","12","17","25","47",".532","10","19",".526","14","20",".700","2","25","13","7","2","14","11","weber state"
"6938","10","2017-12-16","home","Arkansas-Pine Bluff","W","96","74","31","51",".608","11","22",".500","23","31",".742","3","33","22","7","1","11","15","26","62",".419","8","23",".348","14","22",".636","10","31","13","5","2","9","18","weber state"
"6939","11","2017-12-19","home","Pepperdine","W","72","67","27","52",".519","8","20",".400","10","13",".769","5","26","11","4","4","8","15","27","62",".435","5","21",".238","8","12",".667","15","37","13","5","1","10","19","weber state"
"6940","12","2017-12-22","home","Presentation College","W","88","48","31","65",".477","9","26",".346","17","19",".895","4","35","18","11","4","4","20","14","53",".264","4","19",".211","16","22",".727","10","40","7","0","0","21","17","weber state"
"6941","13","2017-12-30","home","Idaho State","L","60","62","24","53",".453","3","16",".188","9","10",".900","2","27","4","4","2","15","14","27","53",".509","5","21",".238","3","10",".300","6","32","10","10","3","16","13","weber state"
"6942","14","2018-01-04","home","Northern Arizona","W","95","55","33","64",".516","11","22",".500","18","22",".818","7","40","19","6","4","7","21","18","57",".316","5","22",".227","14","24",".583","10","33","8","6","7","13","18","weber state"
"6943","15","2018-01-06","home","Southern Utah","W","92","76","31","55",".564","10","24",".417","20","30",".667","8","38","18","5","4","13","21","23","62",".371","7","24",".292","23","28",".821","10","31","11","5","1","12","25","weber state"
"6944","16","2018-01-11","away","Northern Colorado","W","78","74","25","53",".472","3","15",".200","25","35",".714","8","38","4","3","3","9","19","27","57",".474","8","22",".364","12","21",".571","6","29","10","5","3","8","25","weber state"
"6945","17","2018-01-13","away","North Dakota","L","79","89","25","57",".439","8","21",".381","21","23",".913","4","34","11","6","4","16","26","31","57",".544","11","21",".524","16","30",".533","3","29","19","7","2","9","23","weber state"
"6946","18","2018-01-18","home","Sacramento State","W","80","64","26","53",".491","13","23",".565","15","17",".882","5","36","14","3","4","12","12","25","62",".403","8","17",".471","6","8",".750","8","30","13","5","5","8","17","weber state"
"6947","19","2018-01-20","home","Portland State","W","84","79","25","61",".410","11","23",".478","23","32",".719","8","38","17","4","6","13","23","26","69",".377","4","18",".222","23","30",".767","13","44","12","5","4","12","26","weber state"
"6948","1","2017-11-10","neutral","Texas A&M","L","65","88","24","70",".343","12","40",".300","5","9",".556","10","33","19","7","8","16","19","31","64",".484","10","19",".526","16","20",".800","10","45","22","10","5","17","16","west virginia"
"6949","2","2017-11-15","home","American","W","98","64","32","63",".508","5","16",".313","29","39",".744","14","35","17","14","3","7","20","21","46",".457","9","25",".360","13","20",".650","7","24","13","3","3","22","23","west virginia"
"6950","3","2017-11-18","home","Morgan State","W","111","48","45","77",".584","10","27",".370","11","19",".579","19","47","26","10","7","11","16","18","56",".321","3","9",".333","9","17",".529","11","27","10","7","5","27","16","west virginia"
"6951","4","2017-11-20","home","Long Beach State","W","91","62","31","71",".437","12","28",".429","17","26",".654","14","41","18","11","8","10","16","21","56",".375","9","23",".391","11","18",".611","7","31","13","6","6","21","17","west virginia"
"6952","5","2017-11-23","neutral","Marist","W","84","78","26","74",".351","8","38",".211","24","29",".828","22","41","16","13","1","11","25","26","47",".553","10","21",".476","16","25",".640","3","28","14","5","1","22","23","west virginia"
"6953","6","2017-11-24","neutral","UCF","W","83","45","32","70",".457","9","25",".360","10","14",".714","14","44","14","14","10","13","27","12","49",".245","1","12",".083","20","34",".588","11","34","4","6","3","26","16","west virginia"
"6954","7","2017-11-26","neutral","Missouri","W","83","79","22","60",".367","8","26",".308","31","35",".886","11","29","10","13","4","7","21","24","56",".429","12","30",".400","19","26",".731","16","44","18","4","8","19","26","west virginia"
"6955","8","2017-11-30","home","NJIT","W","102","69","35","71",".493","14","34",".412","18","24",".750","13","41","17","9","8","12","23","23","57",".404","6","17",".353","17","23",".739","8","33","8","7","2","18","22","west virginia"
"6956","9","2017-12-05","home","Virginia","W","68","61","21","50",".420","10","25",".400","16","18",".889","6","30","12","6","3","10","20","19","46",".413","9","23",".391","14","19",".737","5","23","11","5","4","12","17","west virginia"
"6957","10","2017-12-09","away","Pitt","W","69","60","27","59",".458","10","25",".400","5","9",".556","7","29","15","8","3","9","25","16","47",".340","6","25",".240","22","31",".710","10","36","11","3","1","14","16","west virginia"
"6958","11","2017-12-20","home","Coppin State","W","77","38","24","77",".312","6","29",".207","23","37",".622","22","53","9","13","5","8","17","11","47",".234","3","20",".150","13","16",".813","2","35","6","2","5","25","26","west virginia"
"6959","12","2017-12-23","home","Fordham","W","86","69","30","66",".455","10","30",".333","16","24",".667","15","40","21","8","5","14","18","23","54",".426","7","23",".304","16","19",".842","6","27","12","9","1","17","24","west virginia"
"6960","13","2017-12-29","away","Oklahoma State","W","85","79","25","57",".439","8","22",".364","27","32",".844","13","32","15","11","2","18","27","24","47",".511","6","17",".353","25","36",".694","11","29","9","11","3","21","21","west virginia"
"6961","14","2018-01-01","away","Kansas State","W","77","69","30","56",".536","4","16",".250","13","16",".813","9","36","21","10","4","18","25","20","56",".357","10","26",".385","19","25",".760","9","25","13","9","2","15","19","west virginia"
"6962","15","2018-01-06","home","Oklahoma","W","89","76","32","70",".457","7","26",".269","18","21",".857","10","35","15","8","8","11","23","25","58",".431","7","20",".350","19","28",".679","9","34","9","6","1","17","19","west virginia"
"6963","16","2018-01-09","home","Baylor","W","57","54","19","61",".311","10","25",".400","9","14",".643","11","32","15","9","7","10","15","19","53",".358","8","21",".381","8","11",".727","11","43","11","5","7","21","20","west virginia"
"6964","17","2018-01-13","away","Texas Tech","L","71","72","23","59",".390","11","28",".393","14","19",".737","10","28","10","5","1","12","27","22","44",".500","4","15",".267","24","28",".857","4","26","9","3","4","12","19","west virginia"
"6965","18","2018-01-15","home","Kansas","L","66","71","25","62",".403","5","27",".185","11","12",".917","13","35","9","5","6","16","19","26","59",".441","8","23",".348","11","16",".688","10","33","15","9","1","13","14","west virginia"
"6966","19","2018-01-20","home","Texas","W","86","51","31","68",".456","12","23",".522","12","12","1.000","13","40","16","4","6","9","15","17","50",".340","3","15",".200","14","22",".636","4","27","7","5","4","15","17","west virginia"
"6967","20","2018-01-22","away","Texas Christian","L","73","82","25","75",".333","7","27",".259","16","22",".727","13","35","17","8","5","12","29","25","59",".424","9","24",".375","23","33",".697","10","43","20","5","7","16","19","west virginia"
"6968","1","2017-11-10","away","Clemson","L","57","85","22","56",".393","6","16",".375","7","14",".500","7","30","9","5","2","20","21","27","54",".500","6","14",".429","25","31",".806","8","37","14","11","5","15","17","western carolina"
"6969","2","2017-11-13","away","Cincinnati","L","51","102","18","56",".321","5","16",".313","10","18",".556","10","25","9","6","1","22","23","33","64",".516","9","21",".429","27","34",".794","12","43","24","11","7","13","17","western carolina"
"6970","3","2017-11-15","home","Hiwassee","W","76","57","29","79",".367","7","25",".280","11","23",".478","27","53","16","10","3","7","10","24","53",".453","6","21",".286","3","11",".273","8","35","10","4","4","21","18","western carolina"
"6971","4","2017-11-19","away","Minnesota","L","64","92","22","59",".373","11","22",".500","9","15",".600","9","30","13","5","5","18","30","29","58",".500","7","16",".438","27","38",".711","12","37","19","11","9","11","20","western carolina"
"6972","5","2017-11-21","away","UMass","L","76","85","23","48",".479","6","17",".353","24","31",".774","10","24","12","6","3","17","19","27","59",".458","11","33",".333","20","22",".909","12","28","21","5","6","12","23","western carolina"
"6973","6","2017-11-24","neutral","Texas-Arlington","L","65","89","22","62",".355","11","31",".355","10","18",".556","9","26","14","9","1","16","19","33","60",".550","6","19",".316","17","21",".810","11","42","17","11","9","21","20","western carolina"
"6974","7","2017-11-25","neutral","Alabama A&M","W","82","72","31","60",".517","14","23",".609","6","9",".667","9","25","20","9","0","13","17","25","48",".521","8","19",".421","14","18",".778","8","28","11","5","1","18","12","western carolina"
"6975","8","2017-11-30","away","College of Charleston","L","60","69","21","55",".382","5","24",".208","13","20",".650","9","32","12","7","3","12","23","18","49",".367","9","22",".409","24","36",".667","9","35","11","7","3","12","19","western carolina"
"6976","9","2017-12-04","home","Appalachian State","W","72","71","26","56",".464","8","15",".533","12","15",".800","5","25","9","11","2","10","16","28","58",".483","10","22",".455","5","12",".417","9","31","10","4","7","16","13","western carolina"
"6977","10","2017-12-06","away","UNC","L","61","104","23","68",".338","12","35",".343","3","6",".500","7","23","19","10","5","15","18","37","65",".569","16","22",".727","14","21",".667","11","49","31","8","8","17","9","western carolina"
"6978","11","2017-12-17","neutral","North Carolina-Asheville","W","76","72","25","55",".455","8","20",".400","18","24",".750","7","34","17","9","3","16","12","31","66",".470","5","26",".192","5","9",".556","7","30","21","11","3","13","21","western carolina"
"6979","12","2017-12-19","home","High Point","L","61","72","22","68",".324","5","29",".172","12","16",".750","14","31","13","5","3","10","18","24","51",".471","5","10",".500","19","25",".760","6","35","12","5","2","10","18","western carolina"
"6980","13","2017-12-30","away","Citadel","W","81","79","27","76",".355","4","20",".200","23","35",".657","20","53","12","12","2","17","26","24","63",".381","13","44",".295","18","33",".545","13","44","17","9","6","22","28","western carolina"
"6981","14","2018-01-04","away","Chattanooga","W","75","63","28","62",".452","4","15",".267","15","19",".789","15","40","8","12","3","14","13","23","50",".460","9","30",".300","8","15",".533","5","21","12","8","4","15","16","western carolina"
"6982","15","2018-01-06","away","Samford","L","71","85","25","61",".410","12","34",".353","9","14",".643","10","28","19","8","2","12","22","26","48",".542","10","19",".526","23","29",".793","7","29","18","7","2","14","15","western carolina"
"6983","16","2018-01-10","home","Mercer","W","58","56","21","53",".396","5","15",".333","11","21",".524","14","41","11","10","2","19","21","18","51",".353","5","21",".238","15","20",".750","8","32","9","12","3","14","22","western carolina"
"6984","17","2018-01-13","home","North Carolina-Greensboro","L","55","66","15","38",".395","5","12",".417","20","29",".690","3","16","7","10","2","14","11","26","53",".491","9","29",".310","5","7",".714","13","35","13","8","3","19","19","western carolina"
"6985","18","2018-01-15","home","Virginia Military Institute","W","65","58","22","51",".431","4","17",".235","17","26",".654","12","32","11","10","6","18","12","22","57",".386","6","20",".300","8","9",".889","11","31","10","10","2","20","18","western carolina"
"6986","19","2018-01-20","away","ETSU","L","50","66","19","59",".322","4","19",".211","8","11",".727","11","24","10","8","3","12","14","24","49",".490","5","19",".263","13","19",".684","8","36","16","6","5","16","14","western carolina"
"6987","20","2018-01-25","home","Southern Wesleyan","W","108","48","41","76",".539","14","32",".438","12","24",".500","17","47","26","14","4","9","12","21","61",".344","4","20",".200","2","8",".250","10","35","9","3","1","23","15","western carolina"
"6988","1","2017-11-11","home","Saint Mary's (MN)","W","109","68","42","62",".677","7","17",".412","18","28",".643","8","28","25","13","2","8","10","24","49",".490","16","32",".500","4","4","1.000","1","17","19","2","1","20","24","western illinois"
"6989","2","2017-11-15","home","Eastern Illinois","W","56","54","20","54",".370","7","22",".318","9","12",".750","8","35","11","8","8","14","14","19","55",".345","8","21",".381","8","14",".571","10","37","12","7","2","18","13","western illinois"
"6990","3","2017-11-18","home","Calvary","W","102","25","44","71",".620","7","20",".350","7","12",".583","18","55","22","9","5","11","10","10","48",".208","1","21",".048","4","6",".667","0","10","4","8","1","19","15","western illinois"
