"","precinct","county","democrat","republican","other","office","active","inactive","total","dem.two.way","turnout","hod_contested"
"228","027 - JEFFERSON","ARLINGTON COUNTY",1234,283,20,"Governor",2844,223,3067,81.3447593935399,54.0436005625879,1
"229","027 - SILVERWOOD","CHESAPEAKE CITY",700,761,26,"Governor",2872,208,3080,47.9123887748118,51.7757660167131,0
"230","028 - LAKEVIEW ELEMENTARY SCHOOL","PORTSMOUTH CITY",1381,31,9,"Governor",2361,125,2486,97.8045325779037,60.1863617111393,0
"231","028 - SUNRAY I","CHESAPEAKE CITY",50,125,1,"Governor",330,19,349,28.5714285714286,53.3333333333333,0
"232","028 - THALIA","VIRGINIA BEACH CITY",534,568,17,"Governor",2034,113,2147,48.4573502722323,55.0147492625369,1
"233","028 - WAKEFIELD","ARLINGTON COUNTY",1372,272,13,"Governor",3398,499,3897,83.4549878345499,48.7639788110653,1
"234","029 - DOMINION HILLS","ARLINGTON COUNTY",1318,302,14,"Governor",2698,159,2857,81.358024691358,60.5633802816901,0
"235","029 - HOLLAND","VIRGINIA BEACH CITY",674,379,18,"Governor",3204,458,3662,64.0075973409307,33.4269662921348,1
"236","029 - SAINT ANDREW'S UNITED METHODIST CHURCH","PORTSMOUTH CITY",207,388,19,"Governor",1188,66,1254,34.7899159663866,51.6835016835017,0
"237","029 - TANGLEWOOD","CHESAPEAKE CITY",315,618,20,"Governor",2014,166,2180,33.7620578778135,47.3187686196624,0
"238","030 - GLEBE","ARLINGTON COUNTY",1132,185,9,"Governor",3033,354,3387,85.9529233105543,43.7190900098912,1
"239","030 - RED WING","VIRGINIA BEACH CITY",494,771,9,"Governor",2970,302,3272,39.0513833992095,42.8956228956229,1
"240","030 - SOUTH NORFOLK","CHESAPEAKE CITY",512,20,17,"Governor",1264,136,1400,96.2406015037594,43.4335443037975,0
"241","030 - THE RESCUE CHURCH","PORTSMOUTH CITY",229,430,10,"Governor",1538,102,1640,34.7496206373293,43.4980494148245,0
"242","031 - CARVER SCHOOL","CHESAPEAKE CITY",1068,158,19,"Governor",3076,406,3482,87.1125611745514,40.4746423927178,0
"243","031 - LEXINGTON","ARLINGTON COUNTY",1261,348,15,"Governor",2804,154,2958,78.3716594157862,57.9172610556348,0
"244","031 - SIGMA","VIRGINIA BEACH CITY",810,1348,21,"Governor",4423,228,4651,37.5347544022243,49.2652046122541,1
"245","032 - CREEDS","VIRGINIA BEACH CITY",194,517,7,"Governor",1372,95,1467,27.2855133614627,52.332361516035,1
"246","032 - OAKRIDGE","ARLINGTON COUNTY",448,176,11,"Governor",1278,173,1451,71.7948717948718,49.6870109546166,0
"247","032 - PROVIDENCE","CHESAPEAKE CITY",1327,58,12,"Governor",3429,424,3853,95.812274368231,40.7407407407407,0
"248","033- PINECREST BAPTIST CHURCH","PORTSMOUTH CITY",195,437,17,"Governor",1179,56,1235,30.8544303797468,55.0466497031383,0
