"","rank","player_name","g_eligible","g_started","minutes","fg","fg_attempts","fg_pct","two_pts","two_attempts","two_point_pct","three","three_attempts","three_pct","free_throws","free_throws_attempts","free_throw_pct","orb","drb","rebounds","assists","steals","blocks","turnovers","fouls","points","part_url","year"
"17551",14,"Beau Rydalch",10,0,3.4,0.1,0.7,0.143,0.1,0.3,0.333,0,0.4,0,0.2,0.2,1,0.4,0.4,0.8,0.1,0.1,0,0.3,0.2,0.4,"/cbb/schools/utah/",2017
"18798",7,"C.J. Neumann",33,13,19.8,2,3.4,0.58,1.9,3.3,0.587,0,0.1,0.333,0.5,0.9,0.5,1.4,1.7,3.2,0.4,0.4,0.2,0.5,2,4.4,"/cbb/schools/wofford/",2014
"512",12,"Devon Brewer",20,3,5.2,0.2,0.8,0.267,0.2,0.8,0.267,0,0,NA,0.2,0.3,0.667,0.2,0.4,0.6,0.3,0.2,0.4,0.6,1.2,0.6,"/cbb/schools/alcorn-state/",2017
"12936",6,"Jarrel Marshall",18,8,19.9,2.4,5.6,0.43,2.2,4.4,0.488,0.2,1.1,0.2,1.6,1.9,0.8,0.4,2.4,2.8,0.4,0.6,0.6,0.8,1.6,6.6,"/cbb/schools/portland/",2017
"16485",10,"Vicktor Arnick",16,2,4.4,0.3,0.8,0.385,0.2,0.4,0.429,0.1,0.4,0.333,0,0.1,0,0.4,0.4,0.8,0.1,0.1,0.1,0.3,0.4,0.8,"/cbb/schools/texas-southern/",2014
"8980",15,"Stephen Spurlock",14,3,5,0.3,1.2,0.235,0.3,1.1,0.267,0,0.1,0,0.1,0.3,0.5,0.4,0.6,1,0.1,0.1,0,0.2,0.6,0.7,"/cbb/schools/maryland-eastern-shore/",2016
"2734",4,"Clemmye Owens",21,8,25.2,3.2,9.4,0.34,1.7,4.4,0.391,1.5,5,0.295,1.2,1.5,0.839,0.5,2,2.5,1.8,1,0,1.4,2.1,9.1,"/cbb/schools/chicago-state/",2016
"18008",11,"Greg Donlon",6,0,1.3,0.7,1,0.667,0.7,1,0.667,0,0,NA,0.3,0.3,1,0.2,0.5,0.7,0,0,0,0.2,0,1.7,"/cbb/schools/virginia-tech/",2016
"12084",5,"Steve Vasturia",38,38,32.5,3.5,7.1,0.491,1.9,3.3,0.584,1.6,3.8,0.411,1.5,1.7,0.864,0.5,2.5,3,1.7,1.1,0.1,1.2,2.2,10.1,"/cbb/schools/notre-dame/",2015
"4617",2,"Egidijus Mockevicius",34,34,27.9,4.5,7.8,0.579,4.5,7.8,0.579,0,0,NA,3.4,4.2,0.824,2.2,7.7,9.9,0.5,0.6,2.2,1.4,2.9,12.5,"/cbb/schools/evansville/",2015
