"","point.d","fg.d","three.d","ft.d","orb.d","drb.d","ast.d","stl.d","blk.d","tov.d","pf.d","g","team","loc.home","win","year"
"349",1.715004,1.012033,1.687394,0.4887102,2.037204,2.14602,1.073509,0.2287684,-1.233861,0.4278186,-0.7268073,23,"southeastern louisiana",1,1,2017
"350",1.524176,1.428709,-0.2815035,-0.4983891,-0.02884217,0.6368522,0.592789,1.512942,1.475804,-0.7739957,-0.7268073,10,"houston",1,1,2016
"351",0.5700322,0.7726658,-0.1108251,0.2924796,-0.7801316,0.7740492,0.4325489,-0.5417359,-0.02956535,-0.373391,-1.103923,25,"kansas",1,1,2015
"352",0.9516896,0.3382585,0.08423602,-2.7818,1.098092,0.0880641,0.1120688,0.2287684,1.17473,-0.373391,-0.915365,5,"weber state",0,1,2015
"353",-1.783522,-2.321377,-2.677098,0.7206191,0.1589802,-2.107088,-2.291532,0.2287684,-0.3306392,-0.7739957,0.593097,8,"morgan state",0,0,2013
"354",0.5700322,-0.5748831,0.7486629,0.9109033,0.9102696,0.4996552,-1.169852,-0.2849011,-0.3306392,-0.5736933,-0.7268073,14,"kent state",1,1,2017
"355",2.605538,2.004964,0.102523,-1.348722,0.1589802,0.3624582,0.4325489,1.769777,2.379025,-2.176112,-1.669596,7,"clemson",1,1,2016
"356",0.124765278049064,-0.69013404219077,-1.68960074412368,-0.254587503668489,-0.216664522816248,-0.735118064029957,-0.0481712680012071,1.51294238726952,0.572582282841514,-1.5752052679112,-0.538249530355914,22,"akron",0,1,2017
"357",-0.3841112,-0.8585777,-1.000791,0.9109033,-0.9679539,-0.7351181,-0.04817127,0.742438,-0.9327868,-0.373391,0.9702125,30,"coppin state",0,0,2017
"358",0.7608609,1.93404,1.065637,0.03678519,0.1589802,3.51799,0.2723089,-1.82591,1.17473,2.430842,-0.5382495,11,"south florida",1,1,2015
"359",-0.129673,-0.3887086,0.09033168,0.4946566,-0.9679539,-1.832694,-0.2084113,0.4856032,1.17473,-1.1746,0.4045393,8,"marist",1,0,2015
"360",0.7608609,-0.1404759,0.638941,1.677986,-0.9679539,-0.460724,0.753029,0.742438,-1.233861,-2.176112,-2.046712,8,"loyola il",1,1,2016
"361",-0.4477208,-0.01635959,-0.183973,0.8395467,-0.9679539,-0.18633,0.2723089,-0.5417359,-0.02956535,0.628121,0.9702125,23,"saint francis pa",0,0,2015
"362",1.269737,1.747866,0.8157151,-0.7600299,-0.2166645,1.597231,0.592789,0.742438,2.077951,0.4278186,-1.103923,14,"cincinnati",1,1,2015
"363",-0.2568921,0.152084,-0.4643733,2.088287,-1.155776,0.6368522,-0.5288914,-0.2849011,-0.631713,0.8284233,0.9702125,30,"quinnipiac",0,0,2016
"364",-0.9565973,-0.4596323,-1.061748,2.44507,-0.4044869,0.2252611,-1.009612,-0.7985707,-0.9327868,1.629633,0.593097,7,"new hampshire",0,0,2016
"365",0.5700322,1.162746,1.071733,-0.3021586,-0.9679539,0.9112463,1.233749,0.4856032,0.8736561,0.4278186,-0.3496918,26,"radford",1,1,2014
"366",-1.783522,-1.115676,-1.275096,0.1973375,-1.531421,-0.323527,-0.8493716,-1.31224,-0.3306392,1.229028,-1.669596,9,"texas southern",0,0,2013
"367",-2.165179,-1.20433,-1.104417,-1.628202,-0.9679539,-1.5583,-2.612012,0.4856032,-1.534934,0.2275162,1.15877,2,"nicholls state",0,0,2014
"368",1.142518,0.3205276,1.266794,1.446078,1.473737,1.18564,1.714469,-0.2849011,1.17473,-0.373391,-0.161134,19,"kennesaw state",1,1,2017
"369",-0.2568921,-0.885174,0.2671058,-0.932475,0.9102696,-1.421103,1.073509,1.256108,-1.836008,-1.775508,0.7816548,14,"east carolina",1,0,2016
"370",0.5064226,0.6308185,-0.433895,0.8454931,-0.2166645,0.3624582,0.2723089,0.2287684,1.776878,-0.1730886,-0.161134,19,"jacksonville state",1,1,2014
"371",-0.4477208,-1.479159,-0.8910694,0.9882062,0.9102696,-0.7351181,0.592789,0.9992728,-0.02956535,-0.5736933,1.347328,28,"tennessee tech",1,0,2015
"372",-1.910741,-0.7433268,-0.129112,-0.153499,-2.658355,-1.146709,-2.612012,-1.055405,-0.02956535,1.229028,0.9702125,11,"mcneese state",0,0,2016
"373",-1.274645,-0.7965195,-0.8727824,-0.5994776,-0.9679539,-0.8723151,-1.169852,-0.7985707,-1.233861,1.229028,1.15877,15,"illinois state",0,0,2014
"374",-1.147426,-2.011087,-1.220235,0.3043724,0.1589802,-1.5583,-0.5288914,0.742438,-1.233861,-0.9742981,0.4045393,10,"valparaiso",1,0,2014
"375",-0.2568921,-0.5039595,-1.134896,0.6373697,0.9102696,0.0880641,-0.6891315,-0.02806634,0.5725823,-0.373391,0.593097,16,"north carolina greensboro",0,0,2016
"376",0.1883748,-0.1582068,0.370732,-0.004839483,-0.02884217,0.2252611,-1.009612,0.9992728,0.2715085,-1.1746,0.593097,25,"san diego state",0,1,2017
"377",-0.7657686,-0.6635377,-0.01939018,-1.093027,0.9102696,-1.283906,0.753029,1.769777,0.8736561,-0.5736933,1.913001,20,"north carolina greensboro",1,0,2014
"378",1.842223,0.9765712,1.394803,-0.7957082,1.098092,1.322837,2.99639,-0.02806634,-0.631713,-0.1730886,0.4045393,31,"oklahoma",0,1,2014
"379",-0.3205016,-0.4064395,0.7242802,0.7027799,-0.9679539,0.0880641,-0.5288914,-0.2849011,-0.3306392,0.2275162,0.02742374,33,"maryland",0,0,2015
"380",1.078909,0.5332985,0.1330013,1.559059,-0.5923092,0.3624582,-0.2084113,0.4856032,0.2715085,-0.9742981,-1.669596,21,"james madison",0,1,2016
"381",1.396956,2.262062,2.754135,-0.1713382,-1.531421,1.460034,0.753029,0.2287684,2.379025,0.8284233,1.535886,5,"maryland",0,1,2015
"382",0.5700322,0.7460694,0.1451926,2.076394,-0.2166645,0.7740492,0.2723089,-0.7985707,0.5725823,0.2275162,0.9702125,29,"mount st marys",1,1,2015
"383",0.1247653,0.5244331,-0.5497125,0.8157612,-1.155776,0.2252611,-1.009612,0.2287684,0.5725823,-0.1730886,-1.103923,4,"weber state",0,1,2015
"384",2.160271,1.15388,-0.452182,-0.1416063,2.225026,1.597231,2.51567,1.512942,0.5725823,-1.374903,-0.3496918,1,"georgia tech",1,1,2015
"385",1.206128,1.082957,-0.6777214,-0.1951237,1.473737,0.2252611,0.9132691,1.256108,1.17473,-0.7739957,-0.161134,27,"cincinnati",1,1,2017
"386",0.5700322,1.074091,-0.3851297,1.434185,-0.02884217,1.460034,-0.3686514,0.9992728,1.776878,0.4278186,-2.235269,15,"marquette",1,1,2014
"387",-0.6385494,-0.09614867,-0.6899127,-0.605424,1.285914,0.2252611,-1.009612,-1.055405,-0.02956535,1.829935,0.9702125,9,"sacred heart",0,0,2015
"388",-0.702159,-0.3443814,-0.6960083,0.2865332,-0.2166645,-0.7351181,-1.169852,0.9992728,-0.3306392,-1.1746,0.593097,7,"monmouth",0,0,2015
"389",0.6972513,1.428709,-0.2936948,0.3935681,-1.531421,0.2252611,-0.5288914,1.769777,0.5725823,-1.374903,0.2159815,7,"tennessee",1,1,2014
"390",-0.7657686,-1.168869,0.3219667,-0.2843194,-0.02884217,-0.460724,-0.5288914,-0.5417359,-0.631713,1.028726,1.535886,6,"pacific",0,0,2014
"391",0.9516896,1.038629,-0.4277993,-1.984985,0.5346249,0.6368522,0.1120688,1.256108,0.2715085,-0.5736933,-2.046712,6,"texas state",1,1,2014
"392",-1.656302,-1.736258,-1.433583,0.1676056,-0.5923092,-1.832694,-1.169852,-0.7985707,-1.233861,-0.5736933,1.15877,4,"grand canyon",0,0,2013
"393",0.5700322,0.347124,-0.05596413,-0.03457139,0.3468025,1.597231,0.9132691,0.4856032,0.2715085,-0.373391,-0.3496918,23,"pacific",0,1,2014
"394",-0.002453843,-0.4862286,0.407306,-0.5697457,0.7224472,0.9112463,0.753029,-1.055405,1.475804,0.8284233,-2.612385,12,"colorado",0,1,2015
"395",-0.002453843,1.065226,0.7608542,-0.3318905,-1.531421,1.048443,-0.5288914,-2.853249,0.2715085,2.030238,-1.103923,14,"western michigan",0,0,2014
"396",1.651395,1.676942,0.04766207,0.7444046,0.7224472,2.14602,1.233749,0.9992728,1.776878,-0.373391,1.15877,11,"memphis",1,1,2014
"397",1.206128,1.570557,-0.2693122,0.4887102,-1.343599,0.6368522,-1.009612,0.4856032,0.5725823,-0.7739957,-2.9895,6,"southern utah",1,1,2015
"398",0.7608609,0.8967821,0.2732015,0.1438201,-0.02884217,1.18564,-0.04817127,-0.2849011,1.776878,0.2275162,-0.5382495,22,"nevada",1,0,2014
"399",-0.5113303,-0.8231158,-0.1413034,-0.9146358,-0.02884217,-1.832694,-1.169852,0.2287684,-0.631713,-0.1730886,1.724444,4,"youngstown state",0,0,2015
"400",1.651395,2.315255,1.589864,-0.2664803,-0.2166645,1.460034,1.393989,1.256108,1.17473,-0.373391,1.15877,30,"penn state",0,1,2014
"401",-0.829378130685804,-1.17773397781306,-0.903260733762674,0.161659198024902,0.346802531084342,-0.186329952481763,-1.4903318036601,-0.798570708651368,-0.631712983307075,0.828423348902967,-0.538249530355914,9,"cal state fullerton",1,0,2015
"402",-1.783522,-1.833778,-1.049557,-0.2426947,1.098092,-0.18633,-0.6891315,-1.055405,0.5725823,1.429331,0.02742374,15,"radford",0,0,2014
"403",0.1247653,0.1875458,-0.415608,-2.234733,0.5346249,0.0880641,0.1120688,0.4856032,-0.3306392,0.2275162,0.02742374,26,"florida",1,1,2015
"404",-0.892987691268128,-0.15820683969373,0.175670908360573,-1.49143484584314,0.346802531084342,0.774049242727577,-0.528891446554171,-1.05540549708702,-0.0295653502327804,1.22902811837199,0.404539257298963,15,"alabama",1,0,2017
"405",-0.002453843,0.542164,-0.397321,-0.3973007,-0.7801316,0.4996552,-0.04817127,-0.02806634,-0.02956535,0.4278186,0.02742374,33,"south carolina upstate",0,1,2015
"406",0.50642264154301,-0.0429559458193719,-0.324173129233248,-0.617316772287018,-0.0288421715160516,-0.735118064029957,-0.208411327518862,0.742438021962557,-0.631712983307075,-1.5752052679112,-0.538249530355914,5,"cal state fullerton",1,1,2015
"407",-1.338255,-0.3798432,0.1269056,0.797922,0.3468025,1.871625,-1.810812,-2.853249,-0.3306392,3.232052,-0.3496918,22,"presbyterian",0,0,2017
"408",-0.6385494,-0.3709777,-0.09253809,-0.9086895,-0.2166645,-0.18633,0.2723089,-0.5417359,-0.02956535,1.229028,0.4045393,20,"hampton",0,0,2015
"409",0.315594,0.3027967,1.291177,-1.265472,-0.5923092,-1.009512,-0.2084113,1.256108,-0.9327868,-1.1746,0.4045393,11,"detroit mercy",1,1,2016
"410",0.4428131,-0.2113996,1.760542,-0.7481372,1.285914,0.7740492,0.753029,0.742438,-1.233861,0.2275162,-1.858154,24,"kentucky",0,1,2014
"411",0.570032202125335,0.994302099049855,-0.464373286119319,-1.49143484584314,-1.15577627931723,-0.186329952481763,0.592788970069411,1.51294238726952,1.7768775489901,-0.573693344238629,-0.538249530355914,30,"bethune cookman",1,1,2016
"412",0.5700322,0.152084,0.4316886,0.3222115,-0.5923092,0.3624582,0.2723089,0.742438,-0.9327868,-0.7739957,-0.915365,14,"stetson",1,1,2015
"413",-0.702159,-1.381639,-1.445774,0.8395467,0.7224472,-0.597921,-1.009612,0.742438,1.17473,0.02721381,0.7816548,18,"north carolina greensboro",0,0,2015
"414",-0.892987691268128,-0.486228614566905,-0.903260733762674,0.625476951340395,-1.71924333321782,-0.46072400825586,0.753029029587065,-1.31224028552268,0.271508466304367,0.628120964168453,0.404539257298963,2,"boston college",0,0,2013
"415",0.4428131,-0.9383667,0.1451926,0.797922,1.661559,-0.8723151,-0.04817127,1.512942,0.2715085,-1.775508,-1.858154,21,"eastern illinois",1,1,2016
"416",1.842223,1.809924,1.23022,-0.4329789,-0.2166645,1.734428,1.393989,-0.02806634,0.5725823,-0.1730886,-0.3496918,3,"missouri state",1,1,2013
"417",0.1247653,-0.4684977,1.851977,0.07246348,-0.4044869,-0.323527,-0.04817127,0.4856032,-0.631713,-0.7739957,-0.3496918,17,"california santa barbara",0,0,2014
"418",0.1247653,-0.007494132,-0.7081996,0.9882062,-0.02884217,0.6368522,0.1120688,1.769777,1.17473,-1.1746,-1.858154,33,"illinois chicago",0,1,2015
"419",0.6336418,0.3737204,-0.7447736,-1.372507,1.098092,0.2252611,2.19519,0.4856032,0.8736561,-1.575205,-0.3496918,22,"stephen f austin",1,1,2016
"420",-0.4477208,0.444644,-0.3607471,1.059563,-1.155776,-0.04913292,-1.490332,-1.31224,0.5725823,-0.1730886,0.7816548,8,"lamar",1,0,2013
"421",-1.211035,-0.9915595,-3.000167,0.875225,2.412848,-0.04913292,-1.169852,-0.5417359,0.8736561,0.8284233,0.2159815,3,"houston baptist",0,0,2014
"422",-1.338255,-0.9383667,0.8096194,0.4887102,-0.5923092,-0.597921,-1.009612,-0.5417359,-0.631713,1.229028,1.535886,33,"purdue",0,0,2015
"423",-0.4477208,-0.6280759,0.1695752,-0.403247,0.3468025,0.2252611,-1.169852,-0.7985707,-0.02956535,1.028726,0.7816548,9,"charleston southern",0,0,2014
"424",-0.2568921,-0.7787886,-0.03767716,-0.2605339,0.1589802,-0.7351181,-0.3686514,0.9992728,-0.9327868,-0.373391,0.2159815,16,"elon",0,0,2017
"425",1.5241756108602,1.10068753954926,1.20583727852345,-1.86011049591443,0.534624882384539,0.911246270614626,1.71446938669299,0.999272810398211,-0.0295653502327804,-0.974298113707656,0.404539257298963,2,"boston college",1,1,2015
"426",-0.702159,-0.0518214,0.4926452,-0.1475526,-2.094888,-0.04913292,-0.5288914,0.2287684,-0.631713,0.628121,0.2159815,17,"texas am corpus christi",1,0,2014
"427",-0.8929877,-1.621007,-1.464061,0.4114072,0.5346249,-1.009512,0.1120688,1.512942,-1.233861,-0.9742981,0.02742374,28,"florida",1,0,2016
"428",-0.8293781,-0.06955231,2.089708,-2.585569,-0.2166645,-1.146709,0.2723089,-0.7985707,-1.233861,1.028726,0.593097,2,"eastern washington",0,0,2013
"429",-0.702159,-0.1050141,-0.1413034,-0.6470487,0.1589802,0.2252611,-0.6891315,0.4856032,-2.137082,0.628121,1.913001,28,"minnesota",0,0,2015
"430",0.3792035,0.7106076,0.657228,0.3816753,-1.343599,-0.04913292,-0.04817127,1.512942,0.2715085,-0.373391,0.593097,29,"illinois",0,1,2014
"431",-0.8929877,-1.532352,0.01108812,-0.8016546,0.1589802,-1.421103,-0.2084113,0.2287684,-1.534934,-0.7739957,0.593097,9,"wake forest",0,0,2014
"432",-0.8293781,-0.9738286,-0.1778773,0.8217075,-0.7801316,-1.009512,-1.971052,-0.5417359,-0.3306392,-0.1730886,-0.915365,26,"east tennessee state",1,0,2014
